epoch	Hem	roi	weight	noise	weight_sum	BF	component	participant_id	cluster
plan	L	SMA	0.000635189	1.51707376	0.006418013	-0.998689272	expectation	102	premotor-parietal
plan	L	SMA	0.009347138	1.148567308	0.025972451	0.257349222	expectation	103	premotor-parietal
plan	L	SMA	0.002237369	1.099549973	0.027649731	-0.913265743	expectation	104	premotor-parietal
plan	L	SMA	0.003413526	0.674879187	0.004806748	-0.52109975	expectation	105	premotor-parietal
plan	L	SMA	8.84E-05	1.001947361	8.84E-05	-0.999844046	expectation	106	premotor-parietal
plan	L	SMA	0.02128465	1.385809667	0.02128465	3.755387753	expectation	107	premotor-parietal
plan	L	SMA	0.010137791	1.125304604	0.015896493	0.478484426	expectation	108	premotor-parietal
plan	L	SMA	0.018281436	1.41736849	0.028854133	0.533627456	expectation	109	premotor-parietal
plan	L	SMA	0.003006114	1.544999731	0.014023459	-0.92703448	expectation	110	premotor-parietal
plan	L	SMA	3.67E-26	0.942396467	0.009758214	-1	expectation	111	premotor-parietal
plan	L	SMA	0.036069452	1.321270195	0.069170672	10.79277887	expectation	112	premotor-parietal
plan	L	SMA	0.017042173	2.01129826	0.017042173	-0.482933907	expectation	113	premotor-parietal
plan	L	SMA	0.01038058	1.282157782	0.052905972	0.340819032	expectation	114	premotor-parietal
plan	L	SMA	0.010212195	0.768633079	0.013205578	2.540469203	expectation	115	premotor-parietal
plan	L	SMA	0.005782823	1.51707376	0.006418013	-0.836566601	uncertainty	102	premotor-parietal
plan	L	SMA	0.016625313	1.148567308	0.025972451	2.790997369	uncertainty	103	premotor-parietal
plan	L	SMA	0.025412362	1.099549973	0.027649731	8.784370908	uncertainty	104	premotor-parietal
plan	L	SMA	0.001393222	0.674879187	0.004806748	-0.923738245	uncertainty	105	premotor-parietal
plan	L	SMA	1.74E-141	1.001947361	8.84E-05	-0.999999457	uncertainty	106	premotor-parietal
plan	L	SMA	9.94E-17	1.385809667	0.02128465	-1	uncertainty	107	premotor-parietal
plan	L	SMA	0.005758702	1.125304604	0.015896493	-0.520565655	uncertainty	108	premotor-parietal
