epoch	roi	weight	monkey	component	session	noise
plan	PMd	0.03973733510722068	M	expectation	10	0.23542214299226882
plan	PMd	0.01857702411502556	M	uncertainty	10	0.23542214299226882
plan	PMd	0.043171497561320084	M	expectation	13	0.2356259886128138
plan	PMd	0.014325495328393186	M	uncertainty	13	0.2356259886128138
plan	PMd	0.024877495228586965	M	expectation	14	0.24197844869095522
plan	PMd	0.00720884102078483	M	uncertainty	14	0.24197844869095522
plan	PMd	0.019775643328772078	M	expectation	15	0.24410074683876912
plan	PMd	0.003822182820511914	M	uncertainty	15	0.24410074683876912
plan	PMd	0.022294985589714295	M	expectation	16	0.2380738785496107
plan	PMd	0.025410021351981903	M	uncertainty	16	0.2380738785496107
plan	PMd	0.04644108844308187	M	expectation	17	0.23605268936962576
plan	PMd	0.009354868540671387	M	uncertainty	17	0.23605268936962576
plan	PMd	0.10470393621265806	M	expectation	19	0.22164697662563507
plan	PMd	0.00871906405050263	M	uncertainty	19	0.22164697662563507
plan	PMd	0.09528655967473175	M	expectation	20	0.22440417921536024
plan	PMd	0.007098037990614505	M	uncertainty	20	0.22440417921536024
plan	PMd	0.09490395786374502	M	expectation	21	0.21497344648384828
plan	PMd	0.04520440172000743	M	uncertainty	21	0.21497344648384828
plan	PMd	0.1169722589899973	M	expectation	22	0.2186449905227638
plan	PMd	0.008450603698612192	M	uncertainty	22	0.2186449905227638
plan	PMd	0.19714502587928706	M	expectation	23	0.19942709967506933
plan	PMd	0.005147444956684461	M	uncertainty	23	0.19942709967506933
plan	PMd	0.02784845661009927	M	expectation	24	0.23579891592520882
plan	PMd	0.028961877121553698	M	uncertainty	24	0.23579891592520882
plan	PMd	0.03653208063753821	P	expectation	4	0.22462593851185986
plan	PMd	0.06499450654568702	P	uncertainty	4	0.22462593851185986
plan	PMd	0.027677931803730904	P	expectation	6	0.23570474692667234
plan	PMd	0.029530343488778952	P	uncertainty	6	0.23570474692667234
plan	PMd	0.013240354222332018	P	expectation	7	0.24222822481428297
plan	PMd	0.017850899257656	P	uncertainty	7	0.24222822481428297
plan	PMd	0.004686374975311173	P	expectation	10	0.24635176419171476
plan	PMd	0.009910671001258522	P	uncertainty	10	0.24635176419171476
plan	PMd	0.011241444388711839	P	expectation	20	0.2296898032134033
plan	PMd	0.07001631809066503	P	uncertainty	20	0.2296898032134033
plan	M1	0.03871002880937913	M	expectation	12	0.23890724342814043
plan	M1	0.0056613678321641775	M	uncertainty	12	0.23890724342814043
plan	M1	0.0467637891034667	M	expectation	13	0.23680388484906265
plan	M1	0.0060217127196504384	M	uncertainty	13	0.23680388484906265
plan	M1	0.052677037162173944	M	expectation	25	0.234574228611428
plan	M1	0.00902910908002161	M	uncertainty	25	0.234574228611428
plan	M1	0.08474347716139201	M	expectation	27	0.2230858982021069
plan	M1	0.02291951971906629	M	uncertainty	27	0.2230858982021069
plan	M1	0.03196106218745006	M	expectation	28	0.24019673944249442
plan	M1	0.007256355789392134	M	uncertainty	28	0.24019673944249442
plan	M1	0.01025236274570974	P	expectation	2	0.23118135455606906
plan	M1	0.0650295942489758	P	uncertainty	2	0.23118135455606906
plan	M1	0.046762084715232875	P	expectation	3	0.22858960644032358
plan	M1	0.03890703989423469	P	uncertainty	3	0.22858960644032358
plan	M1	0.035644095398508026	P	expectation	14	0.23643769008044438
plan	M1	0.018614401194502816	P	uncertainty	14	0.23643769008044438
plan	M1	0.017143599925573228	P	expectation	20	0.22682042047660436
plan	M1	0.0756065147821161	P	uncertainty	20	0.22682042047660436
plan	S1	0.024785967406412906	M	expectation	5	0.242185004005994
plan	S1	0.006474070430630333	M	uncertainty	5	0.242185004005994
plan	S1	0.045840625194152884	M	expectation	9	0.2377854564533958
plan	S1	0.0030178308021480845	M	uncertainty	9	0.2377854564533958
plan	S1	0.03970652388464078	M	expectation	11	0.2366661245589569
plan	S1	0.013629262683250038	M	uncertainty	11	0.2366661245589569
plan	S1	0.06088769639094856	M	expectation	15	0.23202650250139803
plan	S1	0.011008459393117396	M	uncertainty	15	0.23202650250139803
plan	S1	0.026544668205248992	M	expectation	16	0.23951046008185561
plan	S1	0.015415712047273794	M	uncertainty	16	0.23951046008185561
plan	S1	0.1047273063506467	M	expectation	26	0.21822358764075742
plan	S1	0.0223784358821075	M	uncertainty	26	0.21822358764075742
plan	S1	0.12032944146360823	M	expectation	27	0.21225242807063527
plan	S1	0.03066409513227641	M	uncertainty	27	0.21225242807063527
plan	S1	0.045543684006528695	M	expectation	28	0.23219618505195894
plan	S1	0.025673762253520343	M	uncertainty	28	0.23219618505195894
plan	S1	0.017403458175514887	P	expectation	15	0.24002077443244718
plan	S1	0.022519998994421083	P	uncertainty	15	0.24002077443244718
exec	PMd	0.008134074898717212	M	sensory input	10	0.13928832796283394
exec	PMd	0.016005831854722524	M	expectation	10	0.13928832796283394
exec	PMd	0.005236770534434373	M	surprise	10	0.13928832796283394
exec	PMd	0.0027510413012331435	M	sensory input	13	0.13878306634624757
exec	PMd	0.01789633333391089	M	expectation	13	0.13878306634624757
exec	PMd	0.008686336074920977	M	surprise	13	0.13878306634624757
exec	PMd	0.008098877008990268	M	sensory input	14	0.1401805453061831
exec	PMd	0.0066623237484182375	M	expectation	14	0.1401805453061831
exec	PMd	0.003457234077793405	M	surprise	14	0.1401805453061831
exec	PMd	0.004984067976136375	M	sensory input	15	0.14035038588762125
exec	PMd	0.008198119298228718	M	expectation	15	0.14035038588762125
exec	PMd	0.006805643862419569	M	surprise	15	0.14035038588762125
exec	PMd	0.0083167332497717	M	sensory input	16	0.13925199258677926
exec	PMd	0.007979655085255015	M	expectation	16	0.13925199258677926
exec	PMd	0.011597501222126971	M	surprise	16	0.13925199258677926
exec	PMd	0.025409456227210286	M	sensory input	17	0.13706027470359383
exec	PMd	0.010972284496639048	M	expectation	17	0.13706027470359383
exec	PMd	0.004035833575597934	M	surprise	17	0.13706027470359383
exec	PMd	0.04158948955174666	M	sensory input	19	0.12668398581675253
exec	PMd	0.02683455303978663	M	expectation	19	0.12668398581675253
exec	PMd	0.04355253462658106	M	surprise	19	0.12668398581675253
exec	PMd	0.008694577494732332	M	sensory input	20	0.13444228257980498
exec	PMd	0.036714306607076926	M	expectation	20	0.13444228257980498
exec	PMd	0.011498186425316755	M	surprise	20	0.13444228257980498
exec	PMd	0.020165674015649733	M	sensory input	21	0.13325414364126922
exec	PMd	0.04930695237278613	M	expectation	21	0.13325414364126922
exec	PMd	0.00654577964109264	M	surprise	21	0.13325414364126922
exec	PMd	0.018260381844695334	M	sensory input	22	0.13219905902715318
exec	PMd	0.046616187503417665	M	expectation	22	0.13219905902715318
exec	PMd	0.010763765147286448	M	surprise	22	0.13219905902715318
exec	PMd	0.021055659299728646	M	sensory input	23	0.12641511789440682
exec	PMd	0.07488672856140237	M	expectation	23	0.12641511789440682
exec	PMd	0.017677368649883635	M	surprise	23	0.12641511789440682
exec	PMd	0.03752833411925677	M	sensory input	24	0.13544880507800808
exec	PMd	0.00723728647127479	M	expectation	24	0.13544880507800808
exec	PMd	0.01046313215949811	M	surprise	24	0.13544880507800808
exec	PMd	0.0063431266500427325	P	sensory input	4	0.13380669805316983
exec	PMd	0.015262136358028677	P	expectation	4	0.13380669805316983
exec	PMd	0.04202856589738926	P	surprise	4	0.13380669805316983
exec	PMd	0.002390985583021439	P	sensory input	6	0.13897054286343788
exec	PMd	0.009358037870282082	P	expectation	6	0.13897054286343788
exec	PMd	0.016116927320209296	P	surprise	6	0.13897054286343788
exec	PMd	0.018073517089098188	P	sensory input	7	0.1356071630106361
exec	PMd	0.004742191347980539	P	expectation	7	0.1356071630106361
exec	PMd	0.029989851738130218	P	surprise	7	0.1356071630106361
exec	PMd	0.00892492117757391	P	sensory input	10	0.13869184132416604
exec	PMd	0.00341111201388216	P	expectation	10	0.13869184132416604
exec	PMd	0.01728828226034086	P	surprise	10	0.13869184132416604
exec	PMd	0.007966226851085556	P	sensory input	20	0.13873158808516528
exec	PMd	0.00436076990173486	P	expectation	20	0.13873158808516528
exec	PMd	0.01847928379986873	P	surprise	20	0.13873158808516528
exec	M1	0.0055561028574101475	M	sensory input	12	0.1396295255732661
exec	M1	0.011472050162482839	M	expectation	12	0.1396295255732661
exec	M1	0.006664713444199337	M	surprise	12	0.1396295255732661
exec	M1	0.009756032209815767	M	sensory input	13	0.13882113559944678
exec	M1	0.020716553516697638	M	expectation	13	0.13882113559944678
exec	M1	0.0013822159394594284	M	surprise	13	0.13882113559944678
exec	M1	0.0032171338504623915	M	sensory input	25	0.1363211811728857
exec	M1	0.0336003898015327	M	expectation	25	0.1363211811728857
exec	M1	0.01182198591640029	M	surprise	25	0.1363211811728857
exec	M1	0.006399853041758983	M	sensory input	27	0.13308239247831302
exec	M1	0.02262746713907546	M	expectation	27	0.13308239247831302
exec	M1	0.039966163641041254	M	surprise	27	0.13308239247831302
exec	M1	0.007371777762966641	M	sensory input	28	0.13864126883246639
exec	M1	0.009036196502907039	M	expectation	28	0.13864126883246639
exec	M1	0.012471927646441873	M	surprise	28	0.13864126883246639
exec	M1	0.020728301393368318	P	sensory input	2	0.1395807132847476
exec	M1	0.0024227645706327316	P	expectation	2	0.1395807132847476
exec	M1	0.00015418421793946975	P	surprise	2	0.1395807132847476
exec	M1	0.020948950218818846	P	sensory input	3	0.1326228630091559
exec	M1	0.014513650839354493	P	expectation	3	0.1326228630091559
exec	M1	0.03895859277109475	P	surprise	3	0.1326228630091559
exec	M1	0.007846129771630385	P	sensory input	14	0.13986398139009545
exec	M1	0.008978904414036195	P	expectation	14	0.13986398139009545
exec	M1	0.005601163492945192	P	surprise	14	0.13986398139009545
exec	M1	0.006503747218083576	P	sensory input	20	0.13857784053978836
exec	M1	0.0017613923494736218	P	expectation	20	0.13857784053978836
exec	M1	0.02223031923982766	P	surprise	20	0.13857784053978836
exec	S1	0.010144057437002587	M	sensory input	5	0.14039789257582325
exec	S1	0.00640779416858523	M	expectation	5	0.14039789257582325
exec	S1	0.0034422022763238983	M	surprise	5	0.14039789257582325
exec	S1	0.02741030285329396	M	sensory input	9	0.1378526651229315
exec	S1	0.011117996654512711	M	expectation	9	0.1378526651229315
exec	S1	0.002018091148340203	M	surprise	9	0.1378526651229315
exec	S1	0.010740879603340291	M	sensory input	11	0.13972714876742218
exec	S1	0.009115969684338664	M	expectation	11	0.13972714876742218
exec	S1	0.0041265437380128825	M	surprise	11	0.13972714876742218
exec	S1	0.006514810121599112	M	sensory input	15	0.13917885751880985
exec	S1	0.0124636944085893	M	expectation	15	0.13917885751880985
exec	S1	0.005926285536271097	M	surprise	15	0.13917885751880985
exec	S1	0.008010979546807266	M	sensory input	16	0.138997728736313
exec	S1	0.01641095014041267	M	expectation	16	0.138997728736313
exec	S1	0.009214998222481318	M	surprise	16	0.138997728736313
exec	S1	0.008373958908901453	M	sensory input	26	0.13642739238721283
exec	S1	0.0343411645055563	M	expectation	26	0.13642739238721283
exec	S1	0.005261437816530584	M	surprise	26	0.13642739238721283
exec	S1	0.022207942804828008	M	sensory input	27	0.13140446233427583
exec	S1	0.040750866651163835	M	expectation	27	0.13140446233427583
exec	S1	0.02489264702045434	M	surprise	27	0.13140446233427583
exec	S1	0.04286161356603289	M	sensory input	28	0.1323232150571026
exec	S1	0.0468223556990718	M	expectation	28	0.1323232150571026
exec	S1	0.009010631565864787	M	surprise	28	0.1323232150571026
exec	S1	0.01916929779732689	P	sensory input	15	0.13422874609979155
exec	S1	0.004058735363321373	P	expectation	15	0.13422874609979155
exec	S1	0.03906214643249947	P	surprise	15	0.13422874609979155
