epoch	roi	weight	monkey	component	session	noise
plan	PMd	0.3020322121094282	M	expectation	10	0.18913314025561231
plan	PMd	0.001054780932469751	M	uncertainty	10	0.18913314025561231
plan	PMd	0.1653990624326359	M	expectation	13	0.19536101338706927
plan	PMd	0.015475279419991063	M	uncertainty	13	0.19536101338706927
plan	PMd	0.1306651567303544	M	expectation	14	0.21773341385423697
plan	PMd	0.0015706465822964808	M	uncertainty	14	0.21773341385423697
plan	PMd	0.12839290180928703	M	expectation	15	0.21591768118971202
plan	PMd	0.009296690778097376	M	uncertainty	15	0.21591768118971202
plan	PMd	0.09032264054760747	M	expectation	16	0.21118153152105956
plan	PMd	0.006804279511355341	M	uncertainty	16	0.21118153152105956
plan	PMd	0.10603379077430557	M	expectation	17	0.24845620431513576
plan	PMd	0.0036654593309745527	M	uncertainty	17	0.24845620431513576
plan	PMd	0.11445288322204747	M	expectation	19	0.1829205999200776
plan	PMd	0.06642442332084644	M	uncertainty	19	0.1829205999200776
plan	PMd	0.06770136036228816	M	expectation	20	0.24267486534309118
plan	PMd	0.02769955709773969	M	uncertainty	20	0.24267486534309118
plan	PMd	0.13358661379008158	M	expectation	21	0.21621474705917523
plan	PMd	0.008746083065663986	M	uncertainty	21	0.21621474705917523
plan	PMd	0.14411326200052774	M	expectation	22	0.23664078452046527
plan	PMd	0.023532979270328706	M	uncertainty	22	0.23664078452046527
plan	PMd	0.11002208187438746	M	expectation	23	0.26219543331504197
plan	PMd	0.0077663809787723356	M	uncertainty	23	0.26219543331504197
plan	PMd	0.0943994362783179	M	expectation	24	0.24525401548848316
plan	PMd	0.008140905489837716	M	uncertainty	24	0.24525401548848316
plan	PMd	0.10004644909204571	P	expectation	4	0.20941011845777824
plan	PMd	0.030209004599983103	P	uncertainty	4	0.20941011845777824
plan	PMd	0.052706380743679455	P	expectation	6	0.23330860870691292
plan	PMd	0.007808684265351927	P	uncertainty	6	0.23330860870691292
plan	PMd	0.04265225569980151	P	expectation	7	0.23277070914972597
plan	PMd	0.004193296376261295	P	uncertainty	7	0.23277070914972597
plan	PMd	0.07789985561916266	P	expectation	10	0.23123092821065996
plan	PMd	0.0028707848478364047	P	uncertainty	10	0.23123092821065996
plan	PMd	0.04489418542820337	P	expectation	20	0.23041008686604722
plan	PMd	0.03163579661518054	P	uncertainty	20	0.23041008686604722
plan	M1	0.053778268357456124	M	expectation	12	0.2504995968858879
plan	M1	0.0049032218136920835	M	uncertainty	12	0.2504995968858879
plan	M1	0.07955695031916407	M	expectation	13	0.24256257840713355
plan	M1	0.005092071010858287	M	uncertainty	13	0.24256257840713355
plan	M1	0.17345365684138775	M	expectation	25	0.2641793019819017
plan	M1	0.008249497203168029	M	uncertainty	25	0.2641793019819017
plan	M1	0.10202656090269446	M	expectation	27	0.2598126574586179
plan	M1	0.004714413438891608	M	uncertainty	27	0.2598126574586179
plan	M1	0.028314918593762426	M	expectation	28	0.2721049270684622
plan	M1	0.007127874295466886	M	uncertainty	28	0.2721049270684622
plan	M1	0.11317605986402016	P	expectation	2	0.23107220972158404
plan	M1	0.0008210597825263705	P	uncertainty	2	0.23107220972158404
plan	M1	0.02025351336860781	P	expectation	3	0.2537510995503442
plan	M1	0.0028641668757170093	P	uncertainty	3	0.2537510995503442
plan	M1	0.023017004149640648	P	expectation	14	0.2757391199807632
plan	M1	0.004730587725623132	P	uncertainty	14	0.2757391199807632
