epoch	roi	weight	weight_norm	variance	monkey	component	session	noise
plan	PMd	0.1450621230454368	2.1195627161213224	0.3916668187242068	M	expectation	10	0.06155704897087709
plan	PMd	0.00038195368618803985	0.006186020195041324	0.3916668187242068	M	uncertainty	10	0.06155704897087709
plan	PMd	0.07634762928634486	0.868350999765127	0.43501098102187297	M	expectation	13	0.08790538125581154
plan	PMd	0.0070418320265710635	0.07972668286672083	0.43501098102187297	M	uncertainty	13	0.08790538125581154
plan	PMd	0.06570214181303595	0.70391372550658	0.4334548260641867	M	expectation	14	0.0917496509826029
plan	PMd	0.000754113065819103	0.008108630807908574	0.4334548260641867	M	uncertainty	14	0.0917496509826029
plan	PMd	0.03520965912397096	0.6476514322433706	0.2547307544145473	M	expectation	15	0.05429223756465782
plan	PMd	0.0023533857267290324	0.043307337764877094	0.2547307544145473	M	uncertainty	15	0.05429223756465782
plan	PMd	0.0352226192324049	0.4147664195416436	0.3757323216108974	M	expectation	16	0.08447165111023529
plan	PMd	0.002623107871503407	0.03093610554622799	0.3757323216108974	M	uncertainty	16	0.08447165111023529
plan	PMd	0.01972405587206759	0.5207072747139829	0.16243982608686913	M	expectation	17	0.03552863197068645
plan	PMd	0.0006024395393744762	0.016904662108157276	0.16243982608686913	M	uncertainty	17	0.03552863197068645
plan	PMd	0.055553169414081664	0.6027873816314505	0.46755522862872434	M	expectation	19	0.09502508461928846
plan	PMd	0.03190182133277815	0.34031537295555736	0.46755522862872434	M	uncertainty	19	0.09502508461928846
plan	PMd	0.019641111164668268	0.317871414492491	0.2602853503372967	M	expectation	20	0.05837556818547595
plan	PMd	0.007147574563962501	0.12415540198314484	0.2602853503372967	M	uncertainty	20	0.05837556818547595
plan	PMd	0.0316875530877185	0.722298579675972	0.23773834234531288	M	expectation	21	0.05100253392210512
plan	PMd	0.002050134138298066	0.049711656812059746	0.23773834234531288	M	uncertainty	21	0.05100253392210512
plan	PMd	0.0540205590910551	0.8210586712274384	0.31329934156625583	M	expectation	22	0.06268204824036461
plan	PMd	0.00855061562428426	0.1306620928697773	0.31329934156625583	M	uncertainty	22	0.06268204824036461
plan	PMd	0.051085959484718654	0.5578752075251712	0.4539831465365386	M	expectation	23	0.09990918582567876
plan	PMd	0.0032906830660070488	0.03952475933164344	0.4539831465365386	M	uncertainty	23	0.09990918582567876
