con	condition	sn	roi	Hem	epoch
3.1018087718062675	0-100%	102	SMA	L	plan
-8.058021344325672	25-75%	102	SMA	L	plan
-2.3010873693304186	50-50%	102	SMA	L	plan
0.7639198823963316	75-25%	102	SMA	L	plan
4.608193198925791	100-0%	102	SMA	L	plan
3.687848611558095	0-100%,ring	102	SMA	L	exec
7.616968314349651	25-75%,index	102	SMA	L	exec
-7.342357267783238	50-50%,index	102	SMA	L	exec
-1.5632665347976562	75-25%,index	102	SMA	L	exec
13.444507458285452	25-75%,ring	102	SMA	L	exec
19.489749626996808	50-50%,ring	102	SMA	L	exec
26.810165492464336	75-25%,ring	102	SMA	L	exec
-0.574390455450003	100-0%,index	102	SMA	L	exec
3.1635458010277557	0-100%	102	PMd	L	plan
-12.174906614179916	25-75%	102	PMd	L	plan
-5.4929576938110305	50-50%	102	PMd	L	plan
0.01815411018511272	75-25%	102	PMd	L	plan
4.595046317446075	100-0%	102	PMd	L	plan
1.922714548528457	0-100%,ring	102	PMd	L	exec
13.580487363460568	25-75%,index	102	PMd	L	exec
-7.48779893186649	50-50%,index	102	PMd	L	exec
1.5044157109596656	75-25%,index	102	PMd	L	exec
21.802032519936038	25-75%,ring	102	PMd	L	exec
26.634797935286283	50-50%,ring	102	PMd	L	exec
26.13864101648068	75-25%,ring	102	PMd	L	exec
-1.967768231749797	100-0%,index	102	PMd	L	exec
3.9162647261899792	0-100%	102	PMv	L	plan
0.12419067102130897	25-75%	102	PMv	L	plan
1.7469607807699454	50-50%	102	PMv	L	plan
4.073201836547985	75-25%	102	PMv	L	plan
4.870906244353293	100-0%	102	PMv	L	plan
3.780960391381458	0-100%,ring	102	PMv	L	exec
5.693581303305249	25-75%,index	102	PMv	L	exec
-6.142879810751288	50-50%,index	102	PMv	L	exec
1.0727842888276242	75-25%,index	102	PMv	L	exec
13.428199262948624	25-75%,ring	102	PMv	L	exec
11.689214958563475	50-50%,ring	102	PMv	L	exec
19.00553556995355	75-25%,ring	102	PMv	L	exec
0.4081875269582965	100-0%,index	102	PMv	L	exec
2.8711623413553022	0-100%	102	M1	L	plan
-8.686277157842259	25-75%	102	M1	L	plan
-5.898088612896533	50-50%	102	M1	L	plan
-2.6268337573741842	75-25%	102	M1	L	plan
4.845345970281307	100-0%	102	M1	L	plan
13.587441354837642	0-100%,ring	102	M1	L	exec
15.59933427013533	25-75%,index	102	M1	L	exec
0.7083925476834818	50-50%,index	102	M1	L	exec
7.280693461497624	75-25%,index	102	M1	L	exec
25.39311879437516	25-75%,ring	102	M1	L	exec
28.84662041122928	50-50%,ring	102	M1	L	exec
36.949006004140905	75-25%,ring	102	M1	L	exec
5.575295980067462	100-0%,index	102	M1	L	exec
3.2923344015422096	0-100%	102	S1	L	plan
-16.41375863077156	25-75%	102	S1	L	plan
-7.419235250389433	50-50%	102	S1	L	plan
-2.0463062409103747	75-25%	102	S1	L	plan
3.3302942141296854	100-0%	102	S1	L	plan
26.641944750534943	0-100%,ring	102	S1	L	exec
30.96295465429525	25-75%,index	102	S1	L	exec
13.36624758188943	50-50%,index	102	S1	L	exec
17.752120081632143	75-25%,index	102	S1	L	exec
42.22528030284016	25-75%,ring	102	S1	L	exec
45.350797754419276	50-50%,ring	102	S1	L	exec
62.76443560851879	75-25%,ring	102	S1	L	exec
17.936084257817246	100-0%,index	102	S1	L	exec
5.000572704437639	0-100%	102	SPLa	L	plan
-9.082812499685758	25-75%	102	SPLa	L	plan
-4.078373930091355	50-50%	102	SPLa	L	plan
-0.6408723300208851	75-25%	102	SPLa	L	plan
3.2265935134725505	100-0%	102	SPLa	L	plan
7.192553758053553	0-100%,ring	102	SPLa	L	exec
22.45793193071878	25-75%,index	102	SPLa	L	exec
-5.213193334405925	50-50%,index	102	SPLa	L	exec
